# aldehyde_enone: literature-parameterized synthetic Gaussian band (NOT digitized/scraped data)
# lambda_max = 218 nm, epsilon_max = 11500 M^-1 cm^-1, FWHM = 35 nm
# source: lambda_max: refined Woodward base value for acyclic alpha,beta-unsaturated aldehydes (doi: 10.1021/jo01164a003, via ChromoPredict github.com/CompPhotoChem/ChromoPredict), representative of acrolein's K-band. epsilon_max/FWHM: representative order-of-magnitude, as above -- not a precision-sourced digitized value.
# wavelength_nm,epsilon
154.0,1.1
155.0,1.4
156.0,1.9
157.0,2.5
158.0,3.3
159.0,4.4
160.0,5.7
161.0,7.4
162.0,9.5
163.0,12.2
164.0,15.6
165.0,19.9
166.0,25.3
167.0,31.9
168.0,40.1
169.0,50.2
170.0,62.5
171.0,77.5
172.0,95.7
173.0,117.5
174.0,143.8
175.0,175.1
176.0,212.2
177.0,256.1
178.0,307.6
179.0,367.8
180.0,437.8
181.0,518.8
182.0,612.1
183.0,718.8
184.0,840.2
185.0,977.8
186.0,1132.8
187.0,1306.4
188.0,1499.8
189.0,1714.1
190.0,1950.1
191.0,2208.6
192.0,2490.1
193.0,2794.8
194.0,3122.6
195.0,3473.1
196.0,3845.5
197.0,4238.5
198.0,4650.7
199.0,5079.9
200.0,5523.6
201.0,5978.9
202.0,6442.6
203.0,6910.9
204.0,7379.7
205.0,7844.7
206.0,8301.4
207.0,8745.0
208.0,9170.7
209.0,9573.7
210.0,9949.2
211.0,10292.8
212.0,10600.1
213.0,10867.4
214.0,11091.0
215.0,11268.1
216.0,11396.4
217.0,11474.0
218.0,11500.0
219.0,11474.0
220.0,11396.4
221.0,11268.1
222.0,11091.0
223.0,10867.4
224.0,10600.1
225.0,10292.8
226.0,9949.2
227.0,9573.7
228.0,9170.7
229.0,8745.0
230.0,8301.4
231.0,7844.7
232.0,7379.7
233.0,6910.9
234.0,6442.6
235.0,5978.9
236.0,5523.6
237.0,5079.9
238.0,4650.7
239.0,4238.5
240.0,3845.5
241.0,3473.1
242.0,3122.6
243.0,2794.8
244.0,2490.1
245.0,2208.6
246.0,1950.1
247.0,1714.1
248.0,1499.8
249.0,1306.4
250.0,1132.8
251.0,977.8
252.0,840.2
253.0,718.8
254.0,612.1
255.0,518.8
256.0,437.8
257.0,367.8
258.0,307.6
259.0,256.1
260.0,212.2
261.0,175.1
262.0,143.8
263.0,117.5
264.0,95.7
265.0,77.5
266.0,62.5
267.0,50.2
268.0,40.1
269.0,31.9
270.0,25.3
271.0,19.9
272.0,15.6
273.0,12.2
274.0,9.5
275.0,7.4
276.0,5.7
277.0,4.4
278.0,3.3
279.0,2.5
280.0,1.9
281.0,1.4
282.0,1.1
