# diene_acyclic: literature-parameterized synthetic Gaussian band (NOT digitized/scraped data)
# lambda_max = 224 nm, epsilon_max = 26000 M^-1 cm^-1, FWHM = 30 nm
# source: 1,3-pentadiene in hexane: lambda_max = 224 nm, epsilon = 26000 M^-1cm^-1 (chem.libretexts.org, Ancillary_Materials/Worksheets/Spectroscopy_(Worksheets)/03:_UV_Spectroscopy). FWHM: typical for a simple conjugated diene pi->pi* band.
# wavelength_nm,epsilon
167.0,1.2
168.0,1.7
169.0,2.3
170.0,3.3
171.0,4.5
172.0,6.3
173.0,8.6
174.0,11.8
175.0,15.9
176.0,21.5
177.0,28.8
178.0,38.4
179.0,50.8
180.0,66.8
181.0,87.3
182.0,113.5
183.0,146.5
184.0,188.1
185.0,239.9
186.0,304.1
187.0,383.2
188.0,479.8
189.0,597.1
190.0,738.5
191.0,907.8
192.0,1109.1
193.0,1346.6
194.0,1625.0
195.0,1948.9
196.0,2323.0
197.0,2751.9
198.0,3240.0
199.0,3791.2
200.0,4409.0
201.0,5095.9
202.0,5853.6
203.0,6682.7
204.0,7582.4
205.0,8550.4
206.0,9582.7
207.0,10673.8
208.0,11815.9
209.0,13000.0
210.0,14214.9
211.0,15447.8
212.0,16684.5
213.0,17909.6
214.0,19106.5
215.0,20258.3
216.0,21347.5
217.0,22357.1
218.0,23270.7
219.0,24072.7
220.0,24749.5
221.0,25289.0
222.0,25681.6
223.0,25920.0
224.0,26000.0
225.0,25920.0
226.0,25681.6
227.0,25289.0
228.0,24749.5
229.0,24072.7
230.0,23270.7
231.0,22357.1
232.0,21347.5
233.0,20258.3
234.0,19106.5
235.0,17909.6
236.0,16684.5
237.0,15447.8
238.0,14214.9
239.0,13000.0
240.0,11815.9
241.0,10673.8
242.0,9582.7
243.0,8550.4
244.0,7582.4
245.0,6682.7
246.0,5853.6
247.0,5095.9
248.0,4409.0
249.0,3791.2
250.0,3240.0
251.0,2751.9
252.0,2323.0
253.0,1948.9
254.0,1625.0
255.0,1346.6
256.0,1109.1
257.0,907.8
258.0,738.5
259.0,597.1
260.0,479.8
261.0,383.2
262.0,304.1
263.0,239.9
264.0,188.1
265.0,146.5
266.0,113.5
267.0,87.3
268.0,66.8
269.0,50.8
270.0,38.4
271.0,28.8
272.0,21.5
273.0,15.9
274.0,11.8
275.0,8.6
276.0,6.3
277.0,4.5
278.0,3.3
279.0,2.3
280.0,1.7
281.0,1.2
