# ketone_enone: literature-parameterized synthetic Gaussian band (NOT digitized/scraped data)
# lambda_max = 212 nm, epsilon_max = 10000 M^-1 cm^-1, FWHM = 35 nm
# source: lambda_max: RSC 'Modern Chemical Techniques' (edu.rsc.org/download?ac=13851), methyl vinyl ketone K-band. epsilon_max/FWHM: representative order-of-magnitude for an acyclic enone pi->pi* transition (Woodward-Fieser literature range, ~1e4 M^-1cm^-1, broad structureless band) -- not a precision-sourced digitized value.
# wavelength_nm,epsilon
149.0,1.3
150.0,1.7
151.0,2.2
152.0,2.9
153.0,3.8
154.0,4.9
155.0,6.4
156.0,8.3
157.0,10.6
158.0,13.6
159.0,17.3
160.0,22.0
161.0,27.8
162.0,34.9
163.0,43.6
164.0,54.4
165.0,67.4
166.0,83.2
167.0,102.2
168.0,125.0
169.0,152.2
170.0,184.5
171.0,222.7
172.0,267.5
173.0,319.8
174.0,380.7
175.0,451.2
176.0,532.2
177.0,625.0
178.0,730.6
179.0,850.3
180.0,985.0
181.0,1136.0
182.0,1304.2
183.0,1490.5
184.0,1695.8
185.0,1920.6
186.0,2165.3
187.0,2430.3
188.0,2715.3
189.0,3020.1
190.0,3343.9
191.0,3685.7
192.0,4044.1
193.0,4417.3
194.0,4803.1
195.0,5199.1
196.0,5602.3
197.0,6009.5
198.0,6417.1
199.0,6821.5
200.0,7218.6
201.0,7604.4
202.0,7974.5
203.0,8324.9
204.0,8651.5
205.0,8950.3
206.0,9217.5
207.0,9449.9
208.0,9644.3
209.0,9798.4
210.0,9909.9
211.0,9977.4
212.0,10000.0
213.0,9977.4
214.0,9909.9
215.0,9798.4
216.0,9644.3
217.0,9449.9
218.0,9217.5
219.0,8950.3
220.0,8651.5
221.0,8324.9
222.0,7974.5
223.0,7604.4
224.0,7218.6
225.0,6821.5
226.0,6417.1
227.0,6009.5
228.0,5602.3
229.0,5199.1
230.0,4803.1
231.0,4417.3
232.0,4044.1
233.0,3685.7
234.0,3343.9
235.0,3020.1
236.0,2715.3
237.0,2430.3
238.0,2165.3
239.0,1920.6
240.0,1695.8
241.0,1490.5
242.0,1304.2
243.0,1136.0
244.0,985.0
245.0,850.3
246.0,730.6
247.0,625.0
248.0,532.2
249.0,451.2
250.0,380.7
251.0,319.8
252.0,267.5
253.0,222.7
254.0,184.5
255.0,152.2
256.0,125.0
257.0,102.2
258.0,83.2
259.0,67.4
260.0,54.4
261.0,43.6
262.0,34.9
263.0,27.8
264.0,22.0
265.0,17.3
266.0,13.6
267.0,10.6
268.0,8.3
269.0,6.4
270.0,4.9
271.0,3.8
272.0,2.9
273.0,2.2
274.0,1.7
275.0,1.3
