Chemical,Plant Part,Compound_ID,SMILES,InChIKey,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,TPSA,Bioactivity_Label,Standard_SMILES,Mol,MolWt,LogP,TPSA,HBD,HBA,Lipinski_OK,Has_Reactive
GENISTEIN,Leaf Diffusate,CID_5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TZBJGXHYKVUXJN-UHFFFAOYSA-N,270.24,2.7,3,5,1,87,Active,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x0000023757156AB0>,270.24,2.576800000000001,90.9,3,5,TRUE,FALSE
CHOLINE,Seed,CID_305,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,104.17,-0.4,1,1,2,20.2,Active,C[N+](C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x0000023757156C70>,104.17299999999999,-0.3151,20.23,1,1,TRUE,FALSE
TRIGONELLINE,Seed,CID_5570,C[N+]1=CC=CC(=C1)C(=O)[O-],WWNNZCOKKKDOPX-UHFFFAOYSA-N,137.14,1.2,0,2,0,44,Active,C[n+]1cccc(C(=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x00000237571570D0>,137.138,-1.1254,44.01,0,2,TRUE,FALSE
CHOLINE,Seed,CID_305,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,104.17,-0.4,1,1,2,20.2,Active,C[N+](C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x0000023757157140>,104.17299999999999,-0.3151,20.23,1,1,TRUE,FALSE
PERIPLOGENIN,Seed,CID_10574,C[C@]12CC[C@@H](C[C@]1(CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O)O,QJPCKAJTLHDNCS-FBAXFMHRSA-N,390.5,1.1,3,5,1,87,Active,C[C@]12CC[C@H](O)C[C@@]1(O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,<rdkit.Chem.rdchem.Mol object at 0x0000023757157450>,390.5200000000002,2.719200000000001,86.99000000000001,3,5,TRUE,FALSE
STROPHANTHIDOL,Seed,CID_258412,C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)CO)O,ZNDMLUUNNNHNKC-HZXDTFASSA-N,406.5,0.5,4,6,2,107,Active,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34CO)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,<rdkit.Chem.rdchem.Mol object at 0x00000237571575A0>,406.51900000000023,1.6916,107.22000000000001,4,6,TRUE,FALSE
TRIGONELLINE,Seed,CID_5570,C[N+]1=CC=CC(=C1)C(=O)[O-],WWNNZCOKKKDOPX-UHFFFAOYSA-N,137.14,1.2,0,2,0,44,Active,C[n+]1cccc(C(=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x0000023757157680>,137.138,-1.1254,44.01,0,2,TRUE,FALSE
PERIPLOGENIN,Seed,CID_10574,C[C@]12CC[C@@H](C[C@]1(CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O)O,QJPCKAJTLHDNCS-FBAXFMHRSA-N,390.5,1.1,3,5,1,87,Active,C[C@]12CC[C@H](O)C[C@@]1(O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,<rdkit.Chem.rdchem.Mol object at 0x0000023757157CA0>,390.5200000000002,2.719200000000001,86.99000000000001,3,5,TRUE,FALSE
STROPHANTHIDOL,Seed,CID_258412,C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)CO)O,ZNDMLUUNNNHNKC-HZXDTFASSA-N,406.5,0.5,4,6,2,107,Active,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34CO)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,<rdkit.Chem.rdchem.Mol object at 0x0000023757157D80>,406.51900000000023,1.6916,107.22000000000001,4,6,TRUE,FALSE
TRIGONELLINE,Seed,CID_5570,C[N+]1=CC=CC(=C1)C(=O)[O-],WWNNZCOKKKDOPX-UHFFFAOYSA-N,137.14,1.2,0,2,0,44,Active,C[n+]1cccc(C(=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x0000023757157DF0>,137.138,-1.1254,44.01,0,2,TRUE,FALSE
3-METHOXYICAJINE,Plant,CID_71453399,CN1CC[C@]23[C@@H]4[C@H]5[C@@H](CC2=O)C(=C(CO[C@H]5CC(=O)N4C6=CC=CC=C36)OC)C1,FAXARKVDBXPYHL-LZZFVXCTSA-N,394.5,0,0,5,1,59.1,Active,COC1=C2CN(C)CC[C@]34C(=O)C[C@@H]2[C@H]2[C@H](CC(=O)N(c5ccccc53)[C@@H]24)OC1,<rdkit.Chem.rdchem.Mol object at 0x0000023757157ED0>,394.4710000000001,1.8832999999999995,59.08,0,5,TRUE,FALSE
ALPHA-COLUBRINE,Seed,CID_12303796,COC1=CC2=C(C=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5,CAPUGADOGHKUQS-JPPAUQSISA-N,364.4,1.9,0,4,1,42,Active,COc1ccc2c(c1)N1C(=O)C[C@@H]3OCC=C4CN5CC[C@]26[C@@H]5C[C@@H]4[C@@H]3[C@H]16,<rdkit.Chem.rdchem.Mol object at 0x0000023757190040>,364.4450000000001,2.1010999999999997,42.01,0,4,TRUE,FALSE
ARABINOSE,Seed,CID_439195,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O,SRBFZHDQGSBBOR-HWQSCIPKSA-N,150.13,-2.5,4,5,0,90.2,Active,OC1OC[C@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001A9DDE39D90>,150.13,-2.5823,90.15,4,5,TRUE,FALSE
BETA-COLUBRINE,Fruit,CID_251890,COC1=CC2=C(C=C1)N3[C@@H]4[C@]25CCN6[C@H]5C[C@@H]7[C@H]4[C@H](CC3=O)OCC=C7C6,ZTHVHELPCLGXHF-JPPAUQSISA-N,364.4,1.9,0,4,1,42,Active,COc1ccc2c(c1)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33060>,364.44500000000005,2.1010999999999997,42.010000000000005,0,4,TRUE,FALSE
